# Every CONFIG_ symbol NAMED in arch/rlx's own sources, with the
# files that name it.  Derived by `tools/emueq.py refresh`; the
# checker that reads it is `tools/emueq.py check`, and what it is
# for is `docs/isa-prior-art.md` section 9.3's `R1C-1-c`.
#
# exc_path is decided by FILE, not by judgement about a particular
# #ifdef.  The list is EXC_FILES in tools/emueq.py, so changing it
# is a code change with a diff.
#
# LIMIT, stated rather than left to be found: this is a sweep of
# symbol NAMES under arch/rlx.  A symbol that changes the behaviour
# of a function arch/rlx calls, without being named under arch/rlx,
# is outside this table and outside the check that reads it.
#
symbol	n_files	exc_path	files
CONFIG_RTL_89	1	n	arch/rlx/mm/imem-dmem.S
CONFIG_RTL_92D_DMDP	2	n	arch/rlx/kernel/irq_cpu.c,arch/rlx/kernel/irq_vec.c
CONFIG_RTL_92D_SUPPORT	2	n	arch/rlx/kernel/irq_cpu.c,arch/rlx/kernel/irq_vec.c
CONFIG_RTL_DUAL_PCIESLOT_BIWLAN_D	2	n	arch/rlx/kernel/irq_cpu.c,arch/rlx/kernel/irq_vec.c
CONFIG_RTL_ICTEST_SWITCH	2	n	arch/rlx/kernel/irq_cpu.c,arch/rlx/kernel/irq_vec.c
CONFIG_RTL_NFBI_MDIO	2	n	arch/rlx/kernel/irq_cpu.c,arch/rlx/kernel/irq_vec.c
CONFIG_RTL_TIMER_ADJUSTMENT	1	n	arch/rlx/kernel/rlx-cevt.c
CONFIG_RTL_WTDOG	2	y	arch/rlx/kernel/rlx-cevt.c,arch/rlx/kernel/traps.c
CONFIG_SERIAL_RTL8198_UART1	2	n	arch/rlx/kernel/irq_cpu.c,arch/rlx/kernel/irq_vec.c
CONFIG_SERIAL_SC16IS7X0_CONSOLE	2	n	arch/rlx/kernel/early_printk.c,arch/rlx/kernel/setup.c
CONFIG_TRACE_IRQFLAGS	2	y	arch/rlx/kernel/entry.S,arch/rlx/kernel/genex.S
CONFIG_TRAD_SIGNALS	1	n	arch/rlx/kernel/signal.c
CONFIG_USB	2	n	arch/rlx/kernel/irq_cpu.c,arch/rlx/kernel/irq_vec.c
CONFIG_VGA_CONSOLE	1	n	arch/rlx/kernel/setup.c
CONFIG_VT	1	n	arch/rlx/kernel/setup.c
CONFIG_ZONE_DMA	2	n	arch/rlx/mm/dma-default.c,arch/rlx/mm/init.c
CONFIG_ZONE_DMA32	2	n	arch/rlx/mm/dma-default.c,arch/rlx/mm/init.c
