# boot-timeline.py --retro, tool sha256 a541392a0ffe7216f176f5f50995cc6eac0bcc4a384aa407a082037d5219ec7c, paths: bench/2026-09-25
# one record per line; columns unused by a record are empty; seconds
# records: loader seg lm kboot cell nothing fragment class? term1 term1cell reset scale scalefit
record	firmware	variant	class	image	directory	capture	quantity	from	to	seg_class	n	value	median	min	max	p90	argmax	ratio	slope	ci_lo	ci_hi	r	note
cell	loader		cold	pooled			loader.booting	booting	chipname	identical	12		0.355865	0.351504	0.356368								
cell	loader		warm	pooled			loader.booting	booting	chipname	identical	13		0.356060	0.355618	0.356981								
cell	loader		?	pooled			loader.booting	booting	chipname	identical	0												
cell	loader		cold	pooled			loader.banner	booting	banner	identical	12		0.585964	0.581514	0.586455								
cell	loader		warm	pooled			loader.banner	booting	banner	identical	13		0.596023	0.595782	0.597166								
cell	loader		?	pooled			loader.banner	booting	banner	identical	0												
cell	loader		cold	pooled			loader.esc	banner	autoboot	identical	1		5.238773	5.238773	5.238773								
cell	loader		warm	pooled			loader.esc	banner	autoboot	identical	1		5.237828	5.237828	5.237828								
cell	loader		?	pooled			loader.esc	banner	autoboot	identical	0												
cell	vendor	-	cold	pooled			rtkload.decompress	decomp	decomp_done	comparable	4		1.060132	1.060009	1.060254								
cell	vendor	-	warm	pooled			rtkload.decompress	decomp	decomp_done	comparable	5		1.060100	1.060010	1.060331								
cell	vendor	-	?	pooled			rtkload.decompress	decomp	decomp_done	comparable	0												
cell	vendor	-	cold	pooled			rtkload.total	jump	kentry	comparable	4		1.073615	1.070754	1.078224								
cell	vendor	-	warm	pooled			rtkload.total	jump	kentry	comparable	5		1.074413	1.071984	1.078121								
cell	vendor	-	?	pooled			rtkload.total	jump	kentry	comparable	0												
cell	vendor	-	cold	pooled			kernel.early	kentry	wlan	comparable	4		0.666928	0.666356	0.667080								
cell	vendor	-	warm	pooled			kernel.early	kentry	wlan	comparable	5		0.666669	0.666399	0.668028								
cell	vendor	-	?	pooled			kernel.early	kentry	wlan	comparable	0												
cell	vendor	-	cold	pooled			kernel.wlan	wlan	nic	comparable	4		4.623158	4.622836	4.623566								
cell	vendor	-	warm	pooled			kernel.wlan	wlan	nic	comparable	5		4.622567	4.621975	4.625934								
cell	vendor	-	?	pooled			kernel.wlan	wlan	nic	comparable	0												
cell	vendor	-	cold	pooled			kernel.nic	nic	fastpath	comparable	4		0.834141	0.833982	0.834436								
cell	vendor	-	warm	pooled			kernel.nic	nic	fastpath	comparable	5		0.834322	0.831350	0.834775								
cell	vendor	-	?	pooled			kernel.nic	nic	fastpath	comparable	0												
cell	vendor	-	cold	pooled			kernel.late	fastpath	userinit	comparable	4		0.973704	0.973402	0.973907								
